"","season","player_season","name","club","games","minutes","points","ef","plusminus"
"1","season1617","ANDERSON K_season1617","ANDERSON K","Eisbären Bremerhaven",31,831,359,312,-49
"2","season1213","BROOKS R_season1213","BROOKS R","GIESSEN 46ers",19,631,302,255,-116
"3","season1314","CONROY W_season1314","CONROY W","medi bayreuth",9,159,47,48,-62
"4","season1213","CURRY S_season1213","CURRY S","Mitteldeutscher BC",16,322,110,83,-35
"5","season1213","DREVO A_season1213","DREVO A","Artland Dragons",8,146,67,65,-12
"6","season1314","ESTERKAMP S_season1314","ESTERKAMP S","s.Oliver Baskets",4,86,16,11,8
"7","season1415","FREESE J_season1415","FREESE J","ALBA BERLIN",12,91,23,34,12
"8","season1617","FREESE J_season1617","FREESE J","Basketball Löwen Braunschweig",12,218,76,55,-74
"9","season1112","GIBSON D_season1112","GIBSON D","FRAPORT SKYLINERS",18,22,8.4,8.8,1.7
"10","season1617","GONZALVEZ D_season1617","GONZALVEZ D","MHP RIESEN Ludwigsburg",8,129,52,49,3
"11","season1112","HEBERLEIN M_season1112","HEBERLEIN M","ratiopharm ulm",8,15,0,0,6
"12","season1112","HERWIG M_season1112","HERWIG M","s.Oliver Baskets",1,1,0,1,0
"13","season1314","JORDAN J_season1314","JORDAN J","Brose Bamberg",8,226,41,89,94
"14","season1112","KING A_season1112","KING A","Artland Dragons",28,21,10.4,14.6,1.5
"15","season1213","KING A_season1213","KING A","Artland Dragons",33,829,346,462,43
"16","season1314","KING A_season1314","KING A","Artland Dragons",32,820,401,502,100
"17","season1415","KING A_season1415","KING A","Artland Dragons",26,560,242,304,-55
"18","season1617","KONE B_season1617","KONE B","GIESSEN 46ers",2,23,7,1,-19
"19","season1112","MALU J_season1112","MALU J","Eisbären Bremerhaven",1,2,0,0,-2
"20","season1617","MIHAILOVIC V_season1617","MIHAILOVIC V","EWE Baskets Oldenburg",12,231,57,78,10
"21","season1112","MONSE S_season1112","MONSE S","ALBA BERLIN",3,5,2,2,-1
"22","season1314","NEUMANN P_season1314","NEUMANN P","Brose Bamberg",11,121,51,66,11
"23","season1617","NEUMANN P_season1617","NEUMANN P","ratiopharm ulm",3,13,4,5,3
"24","season1516","OLASENI G_season1516","OLASENI G","Brose Bamberg",9,135,39,61,56
"25","season1415","OLDENBURG T_season1415","OLDENBURG T","FRAPORT SKYLINERS",1,2,0,0,-5
"26","season1213","PIGRAM C_season1213","PIGRAM C","s.Oliver Baskets",7,162,67,53,-10
"27","season1213","PROWELL L_season1213","PROWELL L","GIESSEN 46ers",18,481,224,245,-92
"28","season1112","RICHTER J_season1112","RICHTER J","Brose Bamberg",1,2,0,2,0
"29","season1617","RUOFF A_season1617","RUOFF A","MHP RIESEN Ludwigsburg",5,111,56,67,14
"30","season1617","SANDERS J_season1617","SANDERS J","Telekom Baskets Bonn",10,181,36,32,-47
"31","season1516","SEIFERTH A_season1516","SEIFERTH A","FC Bayern München",14,124,40,39,7
"32","season1516","TADDA K_season1516","TADDA K","Brose Bamberg",2,3,0,1,4
